Rank,StudentID,Name,Batch,AverageScore
1,JEE074,Advika Subramanian,JEE-C,286.0
2,JEE032,Fitan Sekhon,JEE-A,240.0
3,JEE085,Falak Biswas,JEE-C,231.0
4,JEE072,Yashica Kumar,JEE-C,221.33
5,JEE005,Chandran Chaudhry,JEE-C,220.33
6,JEE092,Yashawini Ben,JEE-A,216.2
7,JEE053,Upma Badami,JEE-B,214.5
8,JEE068,Vansha Golla,JEE-C,213.71
9,JEE058,Reva Rao,JEE-A,211.2
10,JEE048,Balvan Misra,JEE-C,210.0
11,JEE066,Vyanjana Naik,JEE-A,208.0
12,JEE004,Widisha Nadkarni,JEE-A,207.25
13,JEE086,Oni Ramachandran,JEE-C,206.14
14,JEE098,Amruta Gaba,JEE-B,205.2
15,JEE025,Nicholas Dutta,JEE-B,204.0
16,JEE019,Vanya Chaudhary,JEE-B,202.0
17,JEE009,Zayan Arya,JEE-A,202.0
18,JEE087,Ishanvi Padmanabhan,JEE-C,201.33
19,JEE096,Ekaraj Karnik,JEE-A,201.17
20,JEE064,Aahana Pillay,JEE-B,200.4
21,JEE076,Yochana Krish,JEE-B,200.0
22,JEE081,Niharika Sathe,JEE-A,199.12
23,JEE089,Vansha Badami,JEE-B,199.0
24,JEE039,Vedant Khatri,JEE-B,198.2
25,JEE031,Libni Gopal,JEE-C,198.12
26,JEE047,Wakeeta Ramanathan,JEE-C,198.0
27,JEE049,Dakshesh Sharma,JEE-B,195.0
28,JEE034,Yug Ganguly,JEE-B,195.0
29,JEE021,Harinakshi Ganesh,JEE-C,194.25
30,JEE037,Faris Ganesan,JEE-A,194.0
31,JEE002,Forum Mani,JEE-B,194.0
32,JEE011,Indrajit Ahluwalia,JEE-C,193.5
33,JEE052,Kai Basak,JEE-A,193.2
34,JEE013,Maanav Sekhon,JEE-A,192.86
35,JEE050,Hiral Khanna,JEE-C,192.5
36,JEE041,Vasana Vora,JEE-C,191.83
37,JEE079,Chanakya Khare,JEE-B,191.1
38,JEE046,Baghyawati Natarajan,JEE-B,190.33
39,JEE057,Teerth Ganesh,JEE-C,190.25
40,JEE036,Advay Bir,JEE-C,190.18
41,JEE088,Chanakya Bir,JEE-C,189.86
42,JEE100,Rachit Sathe,JEE-B,187.71
43,JEE060,Neha Luthra,JEE-C,186.67
44,JEE059,Charita Bath,JEE-C,186.67
45,JEE067,Samesh Char,JEE-B,186.6
46,JEE027,Ikshita Setty,JEE-C,186.5
47,JEE099,Falan Kumer,JEE-A,186.5
48,JEE051,Anamika Narayanan,JEE-B,186.0
49,JEE094,Brijesh Dass,JEE-C,185.33
50,JEE080,Turvi Toor,JEE-B,184.75
51,JEE038,Eiravati Samra,JEE-C,184.5
52,JEE071,Fitan Hayer,JEE-B,184.0
53,JEE022,Anika Aurora,JEE-C,183.5
54,JEE008,Vedant Patel,JEE-C,183.33
55,JEE023,Wriddhish Manda,JEE-B,182.83
56,JEE093,Madhav Misra,JEE-B,182.0
57,JEE075,Tanay Goyal,JEE-C,181.8
58,JEE078,Lopa Bala,JEE-A,181.6
59,JEE062,Dominic Badal,JEE-B,181.0
60,JEE033,Arunima Balakrishnan,JEE-C,179.0
61,JEE065,Abhiram Venkatesh,JEE-B,177.83
62,JEE073,Harish Tank,JEE-B,177.43
63,JEE030,Dalaja Dewan,JEE-A,177.17
64,JEE097,Tara Morar,JEE-C,176.5
65,JEE077,Gaurang Arya,JEE-A,176.33
66,JEE042,Bhavna Sekhon,JEE-A,176.25
67,JEE061,Baljiwan Bhalla,JEE-C,175.83
68,JEE007,Rohan Balasubramanian,JEE-C,175.33
69,JEE040,Janani Sanghvi,JEE-B,175.0
70,JEE056,Anirudh Dugar,JEE-C,174.4
71,JEE044,Shivansh Muni,JEE-B,173.71
72,JEE018,Rajeshri Chacko,JEE-B,173.2
73,JEE043,Wahab Balay,JEE-C,173.0
74,JEE035,Viraj Raghavan,JEE-A,172.5
75,JEE010,Peter Luthra,JEE-A,171.86
76,JEE063,Darsh Ray,JEE-B,170.2
77,JEE090,Thomas Magar,JEE-A,168.4
78,JEE045,Tanveer Mani,JEE-A,168.25
79,JEE082,Ryan Nayak,JEE-B,167.75
80,JEE069,Ojasvi Sharaf,JEE-C,167.67
81,JEE012,Omisha Shah,JEE-A,167.5
82,JEE003,Omisha Doctor,JEE-A,167.25
83,JEE026,Forum Kari,JEE-B,166.8
84,JEE055,Chameli Chandra,JEE-B,166.5
85,JEE001,Jacob Ganguly,JEE-A,163.71
86,JEE095,Lopa Ramachandran,JEE-B,160.71
87,JEE083,Siddharth Cherian,JEE-B,160.5
88,JEE054,Ekbal Choudhary,JEE-B,160.33
89,JEE017,Eiravati Ramanathan,JEE-A,159.67
90,JEE020,Rachana Nadig,JEE-A,159.5
91,JEE091,Warhi Ghosh,JEE-C,159.0
92,JEE070,Darsh Parsa,JEE-B,159.0
93,JEE084,Gaurav Batra,JEE-C,157.0
94,JEE028,Aarush Shere,JEE-A,155.25
95,JEE024,Tara Thaman,JEE-B,154.5
96,JEE016,Urvi Bandi,JEE-A,153.0
97,JEE014,Ethan Sankar,JEE-A,150.6
98,JEE029,Neha Desai,JEE-C,148.25
99,JEE006,Vedant Narayanan,JEE-B,147.71
100,JEE015,Widisha Hayer,JEE-A,142.5
